Code insee;Bénéficiaires;Communes;Projets;Détails;Coût ;"Subvention DSIL ""classique""";Subvention DSIL exceptionnelle;latitude;longitude
18143;Communes;Menetou Couture;Préservation du patrimoine;Réfection de 4 noues sur l’église et réfection partielle des plafonds;8 370,00 €;3 348,00 €;40,00%;47.037391;2.937837
65023;Communes;Ardengost;Préservation du patrimoine;restauration du toit de l’église Saint pierre;8 517,00 €;3 999,00 €;46,95%;42.925391;0.402949
29116;Communes;LANNEUFFRET;Transition écologique;Rénovation énergétique d’un logement communal;8 534,00 €;6 800,00 €;79,68%;48.498994;-4.202307
17115;Communes;COLOMBIERS;Transition écologique;Rénovation thermique de la salle des fêtes;8 600,04 €;6 880,00 €;80,00%;45.640714;-0.556276
34208;Communes;Popian;Transition écologique;Rénovation thermique de deux appartements communaux;8 642,40 €;6 914,00 €;80,00%;43.618733;3.537315
85118;Communes;LANDERONDE;Transition écologique;Rénovation de l’éclairage des courts couverts de tennis;8 650,00 €;6 920,00 €;80,00%;46.655581;-1.567823
39554;Communes;Vers-en-Montagne;Résilience Sanitaire;Mise en place de trois poteaux incendie situés au hameau de la Barre, route de Champagnole et rue des Jonquilles;8 775,00 €;3 510,00 €;40,00%;46.815522;5.914959
7244;Communes;SAINT JEAN CHAMBRE;Transition écologique;travaux isolation et insonorisation école;8 790,14 €;3 516,06 €;40,00%;44.905136;4.56203
8461;Communes;VANDY;Transition écologique;Mise aux normes des portes extérieures du bâtiments mairie, salle communale logements;8 809,00 €;4 404,00 €;49,99%;49.434713;4.706152
82182;Communes;Touffailles;Résilience Sanitaire;Travaux de sécurisation de la cour de l'école;8 850,00 €;4 425,00 €;50,00%;44.279761;1.041424
80234;Communes;Daours;Transition écologique;rénovation thermique de la maison des associations;8 850,77 €;7 080,60 €;80,00%;49.901484;2.448456
40282;Communes;Saint Sever;Transition écologique;Rideaux pare soleil école du Parc;8 957,00 €;3 583,00 €;40,00%;43.763104;-0.557903
